"owner","isinactive","created","externalid","lastmodifiedby","abbreviation","scriptid","custrecord_in_gst_hsn_code","recordid","lastmodified","name","id","custrecord_in_gst_hsn_description"
"11","F","06/16/2024","","11","","VAL_276221_3463065_463","83100090","727","06/16/2024","83100090 : SIGN - PLATES, NAME - PLATES, ADDRESS - PLATES AND SIMILAR PLATES, NUMBERS, LETTERS AND OTHER SYMBOLS, OF BASE METAL, EXCLUDING THOSE OF HEADING 9405","727","83100090 : SIGN - PLATES, NAME - PLATES, ADDRESS - PLATES AND SIMILAR PLATES, NUMBERS, LETTERS AND OTHER SYMBOLS, OF BASE METAL, EXCLUDING THOSE OF HEADING 9405"
"11","F","06/14/2024","","11","","VAL_275922_3463065_281","9983","726","06/14/2024","9983 : Other professional, technical and business services","726","9983 : Other professional, technical and business services"
"7","F","02/21/2024","","7","","VAL_100009_3463065_804","22011010","567","02/21/2024","22011010 WATERS, INCLUDING NATURAL OR ARTIFICIALMINERAL WATERS AND AERATED WATERS, NOTCONTAINING ADDED SUGAR OR OTHERSWEETENING MATTER NOR FLAVOURED; ICEAND SNOW - MINERAL WATERS AND AERATED WATERS : MINERAL WATERS","567","WATERS, INCLUDING NATURAL OR ARTIFICIALMINERAL WATERS AND AERATED WATERS, NOTCONTAINING ADDED SUGAR OR OTHERSWEETENING MATTER NOR FLAVOURED; ICEAND SNOW - MINERAL WATERS AND AERATED WATERS : MINERAL WATERS"
"7","F","02/21/2024","","7","","VAL_100061_3463065_181","48181000","570","02/21/2024","48181000 TOILET PAPER AND SIMILAR PAPER, CELLULOSE WADDING OR WEBS OF CELLULOSE FIBRES, OF A KIND USED FOR HOUSEHOLD OR SANITARY PURPOSES, IN ROLLS OF A WIDTH NOT EXCEEDING 36 CM, OR CUT TO SIZE OR SHAPE; HANDKERCHIEFS, CLEANSING TISSUES, TOWELS, TABLE CLOTHS, SE...","570","TOILET PAPER AND SIMILAR PAPER, CELLULOSE WADDING OR WEBS OF CELLULOSE FIBRES, OF A KIND USED FOR HOUSEHOLD OR SANITARY PURPOSES, IN ROLLS OF A WIDTH NOT EXCEEDING 36 CM, OR CUT TO SIZE OR SHAPE; HANDKERCHIEFS, CLEANSING TISSUES, TOWELS, TABLE CLOTHS, SE..."
"11","F","06/02/2024","","11","","VAL_220213_3463065_279","84433100","719","06/02/2024","84433100 : Machines which perform two or more of the functions of printing, copying or facsimile transmission, capable of connecting to an automatic data processing machine or to a network","719","84433100 : Machines which perform two or more of the functions of printing, copying or facsimile transmission, capable of connecting to an automatic data processing machine or to a network"
"11","F","06/18/2024","","11","","VAL_277094_3463065_755","84818090","731","06/18/2024","84818090 : Taps, cocks, valves and similar appliances for pipes, boiler shells, tanks, vats or the like, including pressure-reducing valves and thermostatically controlled valves - other appliances: other","731","84818090 : Taps, cocks, valves and similar appliances for pipes, boiler shells, tanks, vats or the like, including pressure-reducing valves and thermostatically controlled valves - other appliances: other"
"11","F","03/26/2024","","11","","VAL_130443_3463065_729","34011110","585","03/26/2024","34011110 SOAP; ORGANIC SURFACE-ACTIVE PRODUCTS AND PREPARATIONS FOR USE AS SOAP, IN THE FORM OF BARS,CAKES, MOULDED PIECES OR SHAPES, WHETHER OR NOT CONTAINING SOAP; ORGANIC SURFACE-ACTIVE PRODUCTS AND PREPARATIONS FOR WASHING THE SKIN, IN THE FORM OF LIQUID OR CREAM AND PUT UP FOR RETAIL SALE, WHET","585","34011110 SOAP; ORGANIC SURFACE-ACTIVE PRODUCTS AND PREPARATIONS FOR USE AS SOAP, IN THE FORM OF BARS,CAKES, MOULDED PIECES OR
SHAPES, WHETHER OR NOT CONTAINING SOAP; ORGANIC SURFACE-ACTIVE PRODUCTS AND PREPARATIONS FOR WASHING THE SKIN, IN
THE FORM OF LIQUID OR CREAM AND PUT UP FOR RETAIL SALE, WHETHER OR NOT CONTAINING SOAP; PAPER, WADDING, FELT AND
NONWOVENS, IMPREGNATED, COATED OR COVERED WITH SOAP OR DETERGENT SOAP AND ORGANIC SURFACE-ACTIVE PRODUCTS AND
PREPARATIONS, IN THE FORM OF BARS, CAKES,MOULDED PIECES OR SHAPES, AND PAPER,WADDING, FELT AND NONWOVENS,
IMPREGNATED,COATED OR COVERED WITH SOAP OR DETERGENT: FOR TOILET USE (INCLUDING MEDICATED PRODUCTS): MEDICATED
TOILET SOAPS"
"11","F","03/26/2024","","11","","VAL_130413_3463065_925","8419","580","03/26/2024","8419 MACHINERY, PLANT OR LABORATORY EQUIPMENT, WHETHER OR NOT ELECTRICALLY HEATED,(EXCLUDING FURNACES, OVENS AND OTHER EQUIPMENT OF HEADING 8514), FOR THE TREATMENT OF MATERIALS BY A PROCESS INVOLVING A CHANGE OF TEMPERATURE SUCH AS HEATING, COOKING, ROASTING, DISTILLING, RECTIFYING, STERILISING PAS","580","8419 MACHINERY, PLANT OR LABORATORY EQUIPMENT, WHETHER OR NOT ELECTRICALLY HEATED,(EXCLUDING FURNACES, OVENS AND OTHER EQUIPMENT OF
HEADING 8514), FOR THE TREATMENT OF MATERIALS BY A PROCESS INVOLVING A CHANGE OF TEMPERATURE SUCH AS HEATING, COOKING, ROASTING,
DISTILLING, RECTIFYING, STERILISING PASTEURISING, STEAMING, DRYING, EVAPORATING, VAPOURISING, CONDENSING OR COOLING, OTHER THAN
MACHINERY OR PLANT OF A KIND USED FOR DOMESTIC PURPOS"
"11","F","07/24/2024","","11","","VAL_365205_3463065_633","3506","741","07/24/2024","3506 : Prepared glues and other prepared adhesives, not elsewhere specified or included; products suitable for use as glues or adhesives, put up for retail sale as glues or adhesives, not exceeding a net weight of 1 kg","741","3506 : Prepared glues and other prepared adhesives, not elsewhere specified or included; products suitable for use as glues or adhesives, put up for retail sale as glues or adhesives, not exceeding a net weight of 1 kg"
"11","F","07/24/2024","","11","","VAL_365211_3463065_375","4817","742","07/24/2024","4817 : ENVELOPES, LETTER CARDS, PLAIN POSTCARDS AND CORRESPONDENCE CARDS, OF PAPER OR PAPERBOARD; BOXES, POUCHES, WALLETS AND WRITING COMPENDIUMS, OF PAPER OR PAPERBOARD, CONTAINING AN ASSORTMENT OF PAPER STATIONERY","742","4817 : ENVELOPES, LETTER CARDS, PLAIN POSTCARDS AND CORRESPONDENCE CARDS, OF PAPER OR PAPERBOARD; BOXES, POUCHES, WALLETS AND WRITING COMPENDIUMS, OF PAPER OR PAPERBOARD, CONTAINING AN ASSORTMENT OF PAPER STATIONERY"
